product,type_id,size,color,price,inventory,sku,description
T-Shirt Summer Blue,1,XS,Blue,$67.95,[{"stock": 137, "location": "Cartagena, Calle 45 #7-23"}, {"stock": 82, "location": "Barranquilla, Avenida del Río #12-45"}],TS-001,A comfortable and stylish blue T-shirt perfect for summer wear.
Jeans Classic Black,2,S,Black,$89.99,[{"stock": 98, "location": "Medellín, Carrera 67 #34B-12"}, {"stock": 122, "location": "Cali, Calle 19 #5-78"}],JC-002,Classic black jeans with a sleek design, suitable for any occasion.
Dress Floral Print,3,M,Floral,$49.50,[{"stock": 63, "location": "Bucaramanga, Avenida Quebradaseca #23-56"}, {"stock": 81, "location": "Santa Marta, Calle del Comercio #8-90"}],DF-003,A charming floral print dress, perfect for a day out in the sun.
Sweater Winter Warm,4,L,Gray,$39.99,[{"stock": 175, "location": "Pereira, Carrera 14 #11-32"}, {"stock": 142, "location": "Manizales, Avenida Santander #45-67"}],SW-004,Stay cozy and warm in this stylish gray sweater, ideal for winter weather.
Jacket Urban Style,5,XL,Black,$79.95,[{"stock": 124, "location": "Ibagué, Calle 60 #3-21"}, {"stock": 93, "location": "Pasto, Carrera 5 #12-54"}],JU-005,Make a fashion statement with this trendy black urban-style jacket.
Pants Primaveral Blue,6,M,Blue,$59.99,[{"stock": 108, "location": "Montería, Avenida Circunvalar #78-90"}, {"stock": 67, "location": "Valledupar, Calle 21 #13-45"}],PP-006,Stylish blue pants perfect for a springtime look.
T-Shirt Summer Red,1,XS,Red,$67.95,[{"stock": 137, "location": "Cartagena, Calle 45 #7-23"}, {"stock": 82, "location": "Barranquilla, Avenida del Río #12-45"}],TS-001,A vibrant red T-shirt suitable for summer outings.
Jeans Classic Black,2,S,Black,$89.99,[{"stock": 98, "location": "Medellín, Carrera 67 #34B-12"}, {"stock": 122, "location": "Cali, Calle 19 #5-78"}],JC-002,Timeless classic black jeans for a versatile wardrobe staple.
Dress Floral Print,3,M,Floral,$49.50,[{"stock": 63, "location": "Bucaramanga, Avenida Quebradaseca #23-56"}, {"stock": 81, "location": "Santa Marta, Calle del Comercio #8-90"}],DF-003,Elegant floral print dress perfect for any occasion.
Sweater Winter Warm,4,L,Gray,$39.99,[{"stock": 175, "location": "Pereira, Carrera 14 #11-32"}, {"stock": 142, "location": "Manizales, Avenida Santander #45-67"}],SW-004,Cozy gray sweater to keep you warm during chilly days.
Jacket Urban Style,5,XL,Black,$79.95,[{"stock": 124, "location": "Ibagué, Calle 60 #3-21"}, {"stock": 93, "location": "Pasto, Carrera 5 #12-54"}],JU-005,Stylish black jacket with an urban flair for a trendy look.
Pants Primaveral Green,6,M,Green,$59.99,[{"stock": 108, "location": "Montería, Avenida Circunvalar #78-90"}, {"stock": 67, "location": "Valledupar, Calle 21 #13-45"}],PP-006,Refreshing green pants perfect for springtime adventures.
T-Shirt Summer Blue,1,XS,Blue,$67.95,[{"stock": 137, "location": "Cartagena, Calle 45 #7-23"}, {"stock": 82, "location": "Barranquilla, Avenida del Río #12-45"}],TS-001,A comfortable and stylish blue T-shirt perfect for summer wear.
Jeans Classic Black,2,S,Black,$89.99,[{"stock": 98, "location": "Medellín, Carrera 67 #34B-12"}, {"stock": 122, "location": "Cali, Calle 19 #5-78"}],JC-002,Classic black jeans with a sleek design, suitable for any occasion.
Dress Floral Print,3,M,Floral,$49.50,[{"stock": 63, "location": "Bucaramanga, Avenida Quebradaseca #23-56"}, {"stock": 81, "location": "Santa Marta, Calle del Comercio #8-90"}],DF-003,A charming floral print dress, perfect for a day out in the sun.
Sweater Winter Warm,4,L,Gray,$39.99,[{"stock": 175, "location": "Bogotá, Carrera 14 #11-32"}, {"stock": 142, "location": "Manizales, Avenida Santander #45-67"}],SW-004,Stay cozy and warm in this stylish gray sweater, ideal for winter weather.
Jacket Urban Style,5,XL,Black,$79.95,[{"stock": 124, "location": "Ibagué, Calle 60 #3-21"}, {"stock": 93, "location": "Pasto, Carrera 5 #12-54"}],JU-005,Make a fashion statement with this trendy black urban-style jacket.
